Date,NH3
2022/2/1,452.9500122
2022/2/2,457.3500061
2022/2/3,446.6000061
2022/2/4,448.7000122
2022/2/7,447.2600098
2022/2/8,450.9400024
2022/2/9,457.5400085
2022/2/10,449.3200073
2022/2/11,440.4599915
2022/2/14,439.019989
2022/2/15,446.1000061
2022/2/16,446.6000061
2022/2/17,437.0599976
2022/2/18,434.230011
2022/2/22,429.5700073
2022/2/23,421.9500122
2022/2/24,428.2999878
2022/2/25,437.75
2022/2/28,436.6300049
2022/3/1,429.980011
2022/3/2,437.8900146
2022/3/3,435.7099915
2022/3/4,432.1700134
2022/3/7,419.4299927
2022/3/8,416.25
2022/3/9,427.4100037
2022/3/10,425.480011
2022/3/11,420.0700073
2022/3/14,417
