date,Return
2022-02-01,1.32421875
2022-02-02,1.33105469
2022-02-03,1.27929688
2022-02-04,1.359375
2022-02-07,1.38671875
2022-02-08,1.38476562
2022-02-09,1.35449219
2022-02-10,1.29882812
2022-02-11,1.3359375
2022-02-14,1.38574219
2022-02-15,1.40917969
2022-02-16,1.37988281
2022-02-17,1.32324219
2022-02-18,1.30761719
2022-02-21,1.29492188
2022-02-22,1.29101562
2022-02-23,1.32128906
2022-02-24,1.32128906
2022-02-25,1.25976562
2022-02-28,1.36132812
2022-03-01,1.20800781
2022-03-02,1.30761719
2022-03-03,1.35058594
2022-03-04,1.29785156
2022-03-07,1.31835938
2022-03-08,1.3125
2022-03-09,1.29296875
2022-03-10,1.26269531
2022-03-11,1.09863281
2022-03-14,1.25585938
